City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Olafsvik,IS,2022-03-27 20:52:07,64.8945,-23.7142,32.65,71,100,24.27,overcast clouds
141,Cape Town,ZA,2022-03-27 20:50:51,-33.9258,18.4232,70.12,62,0,3.44,clear sky
142,Kudahuvadhoo,MV,2022-03-27 20:53:00,2.6708,72.8944,81.77,68,55,6.24,broken clouds
143,Ust-Kulom,RU,2022-03-27 20:53:01,61.6864,53.6902,29.7,98,100,3.29,overcast clouds
144,Egvekinot,RU,2022-03-27 20:53:01,66.3167,-179.1667,0.21,89,10,2.24,clear sky
145,Sola,VU,2022-03-27 20:53:02,-13.8833,167.55,81.86,75,98,8.86,overcast clouds
146,Najran,SA,2022-03-27 20:53:02,17.4924,44.1277,65.05,26,0,2.89,clear sky
147,Lakatoro,VU,2022-03-27 20:53:03,-16.0999,167.4164,81.61,83,99,5.41,overcast clouds
148,Xining,CN,2022-03-27 20:53:03,36.6167,101.7667,37.08,33,6,1.9,clear sky
149,Dikson,RU,2022-03-27 20:53:03,73.5069,80.5464,-17.25,100,14,3.27,few clouds
150,Mirnyy,RU,2022-03-27 20:53:04,62.5353,113.9611,9.59,98,100,2.8,overcast clouds
151,Baykit,RU,2022-03-27 20:53:04,61.67,96.37,-2.54,100,74,3.96,broken clouds
152,Alamogordo,US,2022-03-27 20:48:45,32.8995,-105.9603,84.96,8,0,6.91,clear sky
153,Aykhal,RU,2022-03-27 20:53:05,66.0,111.5,-1.84,100,100,5.17,overcast clouds
154,Lensk,RU,2022-03-27 20:53:05,60.7253,114.9278,14.72,94,100,10.56,light snow
155,Norman Wells,CA,2022-03-27 20:49:38,65.282,-126.8329,5.04,66,75,4.61,light snow
156,Tuatapere,NZ,2022-03-27 20:48:23,-46.1333,167.6833,56.89,84,5,3.04,clear sky
157,Paralimni,CY,2022-03-27 20:53:06,35.0375,33.9833,48.69,69,0,4.54,clear sky
158,Fayetteville,US,2022-03-27 20:51:55,35.0527,-78.8784,64.92,16,0,17.27,clear sky
159,Beyneu,KZ,2022-03-27 20:53:07,45.3167,55.2,43.81,70,100,15.35,overcast clouds
160,Timra,SE,2022-03-27 20:48:44,62.487,17.3257,31.68,100,75,0.0,broken clouds
161,Anloga,GH,2022-03-27 20:53:08,5.7947,0.8973,82.92,84,59,14.18,broken clouds
162,Izumo,JP,2022-03-27 20:53:08,35.3667,132.7667,48.15,58,100,9.33,overcast clouds
