City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Sao Jose Da Coroa Grande,BR,76.93,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
120,Komsomolskiy,UZ,57.92,overcast clouds,40.4272,71.7189,Ikathouse
121,Kapaa,US,73.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
122,Upernavik,GL,16.68,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
123,Kattivakkam,IN,95.09,clear sky,13.2167,80.3167,Euronova Freezer
124,Butaritari,KI,81.34,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
125,Biak,ID,83.95,broken clouds,-0.9131,122.8766,Penginapan Kim
127,Kota Kinabalu,MY,81.88,thunderstorm,5.9749,116.0724,Gaya Centre Hotel
129,Los Llanos De Aridane,ES,62.35,few clouds,28.6585,-17.9182,Valle Aridane
130,Tasiilaq,GL,23.16,few clouds,65.6145,-37.6368,The Red House
131,Codrington,AU,73.35,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
132,Roma,US,34.95,light snow,43.2128,-75.4557,Wingate By Wyndham Rome
134,Batemans Bay,AU,70.11,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
135,Elat,IL,62.44,clear sky,29.5581,34.9482,Club Hotel Eilat
137,Narsaq,GL,19.62,overcast clouds,60.9167,-46.05,Sleep In Narsaq
138,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
139,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
140,Ahipara,NZ,63.41,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
141,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
142,Bambanglipuro,ID,85.64,few clouds,-7.95,110.2833,Puri Brata
143,Geraldton,AU,77.41,light rain,-28.7667,114.6,Broadwater Mariner Resort
145,Arraial Do Cabo,BR,75.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
146,Kenai,US,36.14,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
147,Georgetown,MY,91.33,few clouds,5.4112,100.3354,Cititel Penang
148,Cabo San Lucas,MX,71.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
149,Veraval,IN,90.88,clear sky,20.9,70.3667,Lords Inn Somnath
150,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
151,Birin,NP,73.63,scattered clouds,26.8865,88.0718,Sangam hotel and lodge
